序号,画面标识,结果,位置,置信度
0,D:/learning files/bishe/EmotionDetection/datasets/EmotionData/test/images/1.jpg,站立,"250,296,316,444",0.91
1,D:/learning files/bishe/EmotionDetection/datasets/EmotionData/test/images/1.jpg,举手,"533,342,588,442",0.87
2,D:/learning files/bishe/EmotionDetection/datasets/EmotionData/test/images/1.jpg,举手,"1,328,68,439",0.85
3,D:/learning files/bishe/EmotionDetection/datasets/EmotionData/test/images/1.jpg,举手,"554,280,599,360",0.85
4,D:/learning files/bishe/EmotionDetection/datasets/EmotionData/test/images/1.jpg,举手,"497,279,544,359",0.80
5,D:/learning files/bishe/EmotionDetection/datasets/EmotionData/test/images/1.jpg,举手,"601,346,640,442",0.80
6,D:/learning files/bishe/EmotionDetection/datasets/EmotionData/test/images/1.jpg,站立,"75,268,125,355",0.80
7,D:/learning files/bishe/EmotionDetection/datasets/EmotionData/test/images/1.jpg,举手,"289,243,328,303",0.79
8,D:/learning files/bishe/EmotionDetection/datasets/EmotionData/test/images/1.jpg,举手,"470,233,511,301",0.78
9,D:/learning files/bishe/EmotionDetection/datasets/EmotionData/test/images/1.jpg,站立,"77,342,132,438",0.72
10,D:/learning files/bishe/EmotionDetection/datasets/EmotionData/test/images/1.jpg,举手,"493,199,527,257",0.71
11,D:/learning files/bishe/EmotionDetection/datasets/EmotionData/test/images/1.jpg,举手,"522,241,558,301",0.71
12,D:/learning files/bishe/EmotionDetection/datasets/EmotionData/test/images/1.jpg,举手,"293,200,328,259",0.70
13,D:/learning files/bishe/EmotionDetection/datasets/EmotionData/test/images/1.jpg,举手,"195,196,233,257",0.69
14,D:/learning files/bishe/EmotionDetection/datasets/EmotionData/test/images/1.jpg,举手,"471,179,503,227",0.68
15,D:/learning files/bishe/EmotionDetection/datasets/EmotionData/test/images/1.jpg,举手,"195,154,224,199",0.68
16,D:/learning files/bishe/EmotionDetection/datasets/EmotionData/test/images/1.jpg,举手,"229,163,255,200",0.67
17,D:/learning files/bishe/EmotionDetection/datasets/EmotionData/test/images/1.jpg,站立,"124,230,163,300",0.66
18,D:/learning files/bishe/EmotionDetection/datasets/EmotionData/test/images/1.jpg,举手,"130,273,178,357",0.65
19,D:/learning files/bishe/EmotionDetection/datasets/EmotionData/test/images/1.jpg,举手,"334,278,377,357",0.64
20,D:/learning files/bishe/EmotionDetection/datasets/EmotionData/test/images/1.jpg,举手,"171,228,215,301",0.58
21,D:/learning files/bishe/EmotionDetection/datasets/EmotionData/test/images/1.jpg,举手,"337,202,371,259",0.57
22,D:/learning files/bishe/EmotionDetection/datasets/EmotionData/test/images/1.jpg,举手,"334,240,371,303",0.56
23,D:/learning files/bishe/EmotionDetection/datasets/EmotionData/test/images/1.jpg,举手,"159,202,193,257",0.55
24,D:/learning files/bishe/EmotionDetection/datasets/EmotionData/test/images/1.jpg,抬头听课,"427,169,455,207",0.53
25,D:/learning files/bishe/EmotionDetection/datasets/EmotionData/test/images/1.jpg,举手,"183,178,213,224",0.53
26,D:/learning files/bishe/EmotionDetection/datasets/EmotionData/test/images/1.jpg,举手,"462,163,486,202",0.52
27,D:/learning files/bishe/EmotionDetection/datasets/EmotionData/test/images/1.jpg,抬头听课,"440,184,467,230",0.50
28,D:/learning files/bishe/EmotionDetection/datasets/EmotionData/test/images/1.jpg,举手,"451,204,485,258",0.49
29,D:/learning files/bishe/EmotionDetection/datasets/EmotionData/test/images/1.jpg,举手,"332,345,388,450",0.49
30,D:/learning files/bishe/EmotionDetection/datasets/EmotionData/test/images/1.jpg,举手,"220,176,249,227",0.44
31,D:/learning files/bishe/EmotionDetection/datasets/EmotionData/test/images/1.jpg,举手,"75,340,132,437",0.39
32,D:/learning files/bishe/EmotionDetection/datasets/EmotionData/test/images/1.jpg,举手,"343,157,371,205",0.32
33,D:/learning files/bishe/EmotionDetection/datasets/EmotionData/test/images/1.jpg,举手,"276,271,320,357",0.31
34,D:/learning files/bishe/EmotionDetection/datasets/EmotionData/test/images/1.jpg,举手,"125,229,163,298",0.29
35,D:/learning files/bishe/EmotionDetection/datasets/EmotionData/test/images/1.jpg,抬头听课,"332,345,388,449",0.27
